,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mean Response,,,,,,,,,,,,,,Number of Students Responding to the Question,,,,,,,,,,,,,,,,
Fall 04,BIOE 321 001, Kyriacos Athanasiou,40,1.48,1.48,1.59,1.44,1.41,1.89,1.67,1.26,1.46,1.52,1.81,2.15,1.56,2.93,27,27,27,27,27,27,27,27,26,27,27,27,27,27,25,25,
Fall 04,BIOE 381 001, John Clark,3,2.00,3.17,2.67,2.33,2.33,2.33,2.33,2.83,1.00,3.17,2.83,2.33,2.50,3.00,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
Fall 04,BIOE 383 001, Bahman Anvari,45,3.72,4.70,3.85,3.38,3.48,4.29,4.39,4.59,3.93,4.37,3.80,3.83,4.48,2.83,47,47,47,45,46,45,46,46,45,46,46,46,46,46,45,44,
Fall 04,BIOE 384 001, Rebekah Drezek,15,1.57,2.29,1.21,1.07,1.36,1.64,1.43,1.57,1.21,2.29,1.86,2.14,2.00,2.86,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,
Fall 04,BIOE 391 001, Kathryn Grande-Allen,34,2.46,3.50,2.04,1.44,2.11,3.00,3.27,3.15,3.40,2.81,2.78,3.26,3.22,3.19,26,26,27,27,27,27,26,27,25,27,27,27,27,27,26,25,
Fall 04,BIOE 400 001, Ka-Yiu San,15,1.63,1.89,1.56,1.73,1.63,1.09,1.36,1.78,1.56,2.08,1.67,1.58,1.75,3.64,8,9,9,11,8,11,11,9,9,12,9,12,12,11,11,11,
Fall 04,BIOE 420 001, Antonios Mikos,27,2.00,2.58,2.58,2.37,2.21,2.37,2.84,2.28,1.53,2.47,3.89,2.68,3.05,4.05,19,19,19,19,19,19,19,18,19,19,19,19,19,19,19,18,
Fall 04,BIOE 440 001, Ella Saterbak,9,1.40,1.80,1.30,1.70,1.60,2.30,2.30,1.90,2.50,1.80,1.60,2.60,2.30,2.30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
Fall 04,BIOE 442 001, Ella Saterbak,8,2.17,3.00,2.50,2.50,2.50,2.17,2.33,2.67,2.33,3.00,3.50,3.50,3.17,3.33,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
Fall 04,BIOE 442 002, Ella Saterbak,6,4.00,2.00,3.00,1.00,1.00,1.00,1.50,1.50,1.50,3.00,2.50,1.00,1.50,2.00,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,
Fall 04,BIOE 442 003, Ella Saterbak,8,2.00,4.00,3.00,3.00,4.00,3.00,6.00,3.00,2.00,4.00,4.00,3.00,3.00,5.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Fall 04,BIOE 443 002, Ella Saterbak,2,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.50,1.50,2.00,1.50,1.50,1.50,3.00,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
Fall 04,BIOE 444 001, Zillah Oden,2,2.85,2.77,2.69,2.38,2.31,2.69,2.69,2.85,2.62,2.77,3.38,2.85,3.00,3.31,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
Fall 04,BIOE 444 0010, Zillah Oden,2,2.85,2.77,2.69,2.38,2.31,2.69,2.69,2.85,2.62,2.77,3.38,2.85,3.00,3.31,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
Fall 04,BIOE 444 0011, Zillah Oden,2,2.85,2.77,2.69,2.38,2.31,2.69,2.69,2.85,2.62,2.77,3.38,2.85,3.00,3.31,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
Fall 04,BIOE 444 002, Zillah Oden,2,2.85,2.77,2.69,2.38,2.31,2.69,2.69,2.85,2.62,2.77,3.38,2.85,3.00,3.31,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
Fall 04,BIOE 444 003, Zillah Oden,2,2.85,2.77,2.69,2.38,2.31,2.69,2.69,2.85,2.62,2.77,3.38,2.85,3.00,3.31,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
Fall 04,BIOE 444 004, Zillah Oden,2,2.85,2.77,2.69,2.38,2.31,2.69,2.69,2.85,2.62,2.77,3.38,2.85,3.00,3.31,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
Fall 04,BIOE 444 005, Zillah Oden,2,2.85,2.77,2.69,2.38,2.31,2.69,2.69,2.85,2.62,2.77,3.38,2.85,3.00,3.31,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
Fall 04,BIOE 444 006, Zillah Oden,2,2.85,2.77,2.69,2.38,2.31,2.69,2.69,2.85,2.62,2.77,3.38,2.85,3.00,3.31,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
Fall 04,BIOE 444 007, Zillah Oden,2,2.85,2.77,2.69,2.38,2.31,2.69,2.69,2.85,2.62,2.77,3.38,2.85,3.00,3.31,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
Fall 04,BIOE 444 008, Zillah Oden,2,2.85,2.77,2.69,2.38,2.31,2.69,2.69,2.85,2.62,2.77,3.38,2.85,3.00,3.31,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
Fall 04,BIOE 444 009, Zillah Oden,2,2.85,2.77,2.69,2.38,2.31,2.69,2.69,2.85,2.62,2.77,3.38,2.85,3.00,3.31,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
Fall 04,BIOE 445 001, Zillah Oden,7,2.67,3.17,2.83,1.50,1.50,2.00,1.67,2.50,3.00,3.00,2.50,1.33,2.67,3.33,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,
Fall 04,BIOE 451 001, Zillah Oden,30,2.73,3.42,2.77,2.85,2.69,2.62,3.15,3.50,3.35,3.46,3.96,2.69,3.62,4.46,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,23,
Fall 04,BIOE 454 001, Tayfun Tezduyar,0,1.38,1.75,1.75,1.50,1.63,1.63,1.63,1.50,1.25,1.75,1.75,1.63,1.63,3.38,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
Fall 04,BIOE 485 001, Osama Mawlawi,4,2.11,2.22,3.78,2.44,2.33,2.67,2.11,2.00,1.56,2.44,3.56,2.89,2.44,2.44,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,
Fall 04,BIOE 492 001, Robert Raphael,12,2.80,2.50,2.80,2.00,2.10,2.70,2.00,2.50,1.90,2.90,2.78,2.90,2.50,2.70,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,9,
Fall 04,BIOE 520 001, Michael Deem,16,4.40,4.67,5.00,4.47,3.40,4.27,5.07,5.27,3.00,4.53,4.80,3.33,5.20,4.20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,
Fall 04,BIOE 531 001, Jennifer West,36,1.85,2.33,2.06,1.88,2.15,2.58,2.55,2.52,1.76,2.30,2.52,2.76,2.52,2.79,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,30,
Fall 04,BIOE 554 001, Tayfun Tezduyar,0,1.38,1.75,1.75,1.50,1.63,1.63,1.63,1.50,1.25,1.75,1.75,1.63,1.63,3.38,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
Fall 04,BIOE 581 001, John Clark,3,2.00,2.33,1.67,1.33,1.67,2.00,2.33,2.00,2.33,2.33,2.00,2.33,2.33,3.00,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
Fall 04,BIOE 592 001, Robert Raphael,7,3.71,3.29,3.57,3.29,2.86,3.43,3.29,3.43,3.00,3.43,3.71,3.43,3.57,2.86,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,
Fall 04,BIOE 594 001, Alma Novotny,4,2.50,2.33,2.00,2.33,1.67,2.17,2.17,2.00,1.83,2.50,2.33,2.50,2.17,1.67,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
Fall 04,BIOS 201 001, Michael Gustin,177,1.25,1.70,1.40,1.34,1.42,1.99,1.59,1.48,1.30,1.50,1.92,1.72,1.62,3.75,114,114,114,114,113,114,114,114,114,114,114,114,114,113,113,112,
Fall 04,BIOS 211 001, David Caprette,73,1.48,2.12,1.89,2.26,2.36,1.70,2.21,2.03,1.67,1.85,2.06,1.80,2.12,4.17,66,66,66,65,66,66,66,66,66,66,66,66,66,65,65,65,
Fall 04,BIOS 213 001, Barry Sullender,16,2.25,2.33,3.33,1.42,1.67,2.08,2.17,2.17,1.55,3.25,3.67,2.67,2.67,3.00,12,12,12,12,12,12,12,12,11,12,12,12,12,12,11,10,
Fall 04,BIOS 213 002, Barry Sullender,21,2.85,3.46,3.54,2.31,2.46,2.54,2.85,3.00,1.69,3.77,4.15,3.38,3.69,3.17,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,12,
Fall 04,BIOS 213 003, Barry Sullender,13,2.20,2.40,3.50,2.33,1.50,1.80,2.10,2.40,1.40,3.50,3.40,2.80,2.80,3.20,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,
Fall 04,BIOS 301 001, John Olson,195,1.70,3.08,1.88,2.03,2.19,2.69,3.17,2.76,1.71,2.50,2.31,2.25,2.78,3.98,110,108,109,110,110,108,109,109,108,110,110,109,109,110,109,105,
Fall 04,BIOS 301 001, Yousif Shamoo,195,1.55,1.98,1.82,1.97,2.16,2.66,2.61,2.04,1.74,2.20,2.41,2.22,2.48,3.99,113,111,113,112,112,112,112,112,113,113,112,112,113,113,113,108,
Fall 04,BIOS 307 001, Susan K. McIntosh,19,2.47,2.84,2.48,1.91,1.94,2.38,2.34,2.63,2.09,2.44,2.53,2.22,2.19,3.47,32,32,31,32,32,32,32,32,32,32,32,32,32,32,32,31,
Fall 04,BIOS 307 001, Alma Novotny,19,1.58,1.76,1.64,1.21,1.61,1.82,1.69,1.55,1.36,2.24,2.48,2.27,2.09,3.39,33,33,33,33,33,33,32,33,33,33,33,33,33,33,33,32,
Fall 04,BIOS 307 001, Hannah Landecker,19,1.44,2.00,1.74,1.47,1.74,1.82,2.03,1.97,1.53,2.35,2.29,2.21,1.94,3.62,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,
Fall 04,BIOS 310 002, Peter Weyand,4,2.00,2.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,3.00,2.00,1.00,1.00,4.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
Fall 04,BIOS 311 001, K. Beth Beason-Armendarez,24,1.43,2.13,1.36,2.22,2.13,2.39,2.55,2.09,1.78,2.26,2.55,2.48,2.52,3.96,23,23,22,23,23,23,22,23,23,23,22,23,23,23,23,23,
Fall 04,BIOS 311 002, K. Beth Beason-Armendarez,23,1.52,2.17,1.48,3.00,2.61,2.36,2.82,2.13,1.87,2.17,2.61,2.48,2.57,4.00,23,23,23,23,23,22,22,23,23,23,23,23,23,23,23,22,
Fall 04,BIOS 311 003, K. Beth Beason-Armendarez,22,1.13,1.78,1.26,2.04,1.83,2.04,2.65,1.74,1.30,1.61,1.70,2.00,2.17,4.04,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,
Fall 04,BIOS 312 001, K. Beth Beason-Armendarez,8,1.75,2.25,1.50,2.88,2.50,2.00,2.38,2.00,1.88,1.88,2.63,2.00,2.25,2.63,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,
Fall 04,BIOS 318 001, David Caprette,8,1.67,1.67,2.00,2.00,2.00,1.33,2.33,1.67,1.67,2.33,1.67,2.00,2.00,3.33,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
Fall 04,BIOS 318 002, David Caprette,19,2.31,2.92,2.38,2.46,2.38,2.08,2.15,2.54,1.77,3.31,2.62,2.00,2.58,3.92,13,13,13,13,13,13,13,13,13,13,13,13,12,13,13,13,
Fall 04,BIOS 321 001, Anne Danielson-Francois,32,1.38,2.15,1.46,1.27,1.65,1.54,1.62,1.73,1.31,1.96,2.54,1.77,1.85,3.73,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,24,
Fall 04,BIOS 325 001, Julian Holland,31,2.59,2.68,1.91,1.91,1.95,2.41,2.95,2.73,2.55,2.36,2.41,2.82,2.82,2.82,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,
Fall 04,BIOS 329 001, Frank Fisher,59,1.79,2.37,1.49,1.86,1.58,1.95,2.14,1.95,1.28,2.28,2.44,2.44,2.16,2.56,43,43,43,43,43,43,43,42,43,43,43,43,43,43,43,41,
Fall 04,BIOS 334 001, Barry Sullender,61,2.28,3.20,3.16,2.36,2.04,2.44,2.64,3.00,1.96,3.00,3.28,2.84,3.28,3.04,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,23,
Fall 04,BIOS 341 001, James McNew,133,1.77,3.02,1.76,2.24,2.30,3.23,3.15,2.76,1.97,2.42,2.89,2.63,2.90,3.74,62,62,62,62,61,62,62,62,62,62,61,62,62,62,62,58,
Fall 04,BIOS 341 001, Janet Braam,133,1.94,2.60,1.81,2.23,2.16,3.16,3.03,2.62,2.40,2.49,2.92,2.76,2.78,3.61,63,63,63,62,63,63,63,63,63,63,62,63,63,62,62,58,
Fall 04,BIOS 421 001, Raymon Glantz,21,2.31,4.08,1.77,2.38,2.69,3.38,3.23,3.23,2.08,3.31,3.00,2.92,3.00,3.46,13,13,13,13,13,13,13,13,12,13,13,13,13,13,13,12,
Fall 04,BIOS 425 001, Janet Braam,12,1.43,1.79,1.50,1.36,1.50,1.64,1.71,1.93,1.79,1.79,1.93,1.79,2.07,3.71,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,
Fall 04,BIOS 481 001, Eva Pernilla Wittung Stafshede,10,1.75,2.13,1.50,1.50,1.50,2.38,2.50,2.38,1.88,1.88,2.50,2.50,1.88,2.50,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
Fall 04,BIOS 525 001, Janet Braam,9,2.86,3.14,1.57,2.71,2.86,2.29,3.29,3.29,2.43,2.86,3.71,3.33,3.29,3.29,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,
Fall 04,BIOS 532 001, Mary Cates,5,1.40,1.80,1.40,1.20,1.40,2.00,2.00,1.40,1.40,1.20,1.80,2.00,1.40,4.00,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Fall 04,BIOS 551 001, Eva Pernilla Wittung Stafshede,17,1.87,2.67,1.47,1.87,1.67,2.60,2.53,2.33,1.73,2.47,2.93,2.47,2.53,3.00,15,15,15,15,15,15,15,15,15,15,15,15,15,14,15,15,
Fall 04,BIOS 561 001, Lisa Meffert,13,1.78,2.33,1.44,1.22,1.56,2.00,1.78,1.44,1.56,2.33,2.11,2.00,1.89,2.33,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
Fall 04,BIOS 583 001, Daniel Wagner,13,1.10,1.30,1.30,1.10,1.30,1.10,1.50,1.40,1.20,1.00,1.20,1.20,1.20,3.80,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,
Fall 04,BIOS 583 001, Jonathan Silberg,13,1.10,1.10,1.10,1.10,1.10,1.30,1.40,1.20,1.20,1.10,1.20,1.40,1.20,3.80,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,
Fall 04,BIOS 583 001, James McNew,13,1.00,1.09,1.64,1.18,1.18,1.00,1.09,1.00,1.18,1.00,1.09,1.09,1.09,3.82,11,11,11,11,11,11,11,11,11,11,11,11,11,11,9,11,
Fall 04,BIOS 583 001, Yihizi Tao,13,1.00,1.18,1.09,1.09,1.09,1.18,1.00,1.18,1.09,1.09,1.18,1.36,1.18,3.73,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
Fall 04,BIOS 583 001, ,13,1.09,1.09,1.18,1.09,1.09,1.27,1.36,1.36,1.18,1.09,1.27,1.18,1.18,3.73,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,
Fall 04,BIOS 587 001, Edward Nikonowicz,13,3.15,3.38,3.31,3.08,3.23,3.00,3.23,3.08,2.85,3.23,3.77,2.85,3.85,3.92,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
Fall 04,BIOS 587 001, Charles Stewart,13,2.62,4.00,2.46,3.00,3.38,2.92,3.92,3.85,3.69,3.15,3.77,2.85,4.38,3.77,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
Fall 04,BIOS 594 001, Alma Novotny,18,2.50,2.33,2.00,2.33,1.67,2.17,2.17,2.00,1.83,2.50,2.33,2.50,2.17,1.67,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
Fall 04,CAAM 210 001, Timothy Redl,86,1.98,2.76,1.45,1.64,1.84,2.64,2.91,2.55,1.96,1.82,2.25,2.42,2.67,2.98,55,55,55,55,55,55,55,55,54,55,55,55,55,55,55,55,
Fall 04,CAAM 210 002, Anthony Padula,4,1.00,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,2.00,2.00,2.00,2.50,3.00,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
Fall 04,CAAM 335 002, Mark Embree ,52,1.28,1.38,1.36,1.36,1.41,1.72,1.78,1.30,1.22,1.61,1.64,1.76,1.64,2.97,32,32,33,33,32,32,32,33,32,33,33,33,33,33,33,32,
Fall 04,CAAM 336 001, Liliana Borcea,26,1.90,2.95,1.76,1.52,1.76,2.71,3.19,2.57,1.90,2.05,2.48,2.76,2.71,3.33,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20,
Fall 04,CAAM 378 001, Timothy Redl,14,1.90,2.80,1.70,1.60,2.30,2.90,2.33,2.40,2.20,1.90,2.00,2.60,2.40,2.70,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,
Fall 04,CAAM 401 001, E. McKay Hyde,16,1.23,1.54,1.23,1.08,1.31,1.54,1.46,1.42,1.23,1.62,1.54,1.23,1.46,4.08,13,13,13,13,13,13,13,12,13,13,13,13,13,13,13,13,
Fall 04,CAAM 420 001, Timothy Warburton,24,1.60,2.16,1.40,2.05,2.21,2.00,2.10,2.11,1.50,2.25,1.85,1.65,1.79,3.40,20,19,20,20,19,20,20,19,20,20,20,20,19,20,20,20,
Fall 04,CAAM 435 001, Bradford Peercy,7,2.83,2.33,2.50,1.50,1.67,1.67,2.00,2.00,2.50,2.67,1.83,1.83,2.00,3.67,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,
Fall 04,CAAM 436 001, William Symes,16,1.44,1.56,1.78,1.67,1.56,1.67,1.89,1.63,1.44,1.78,2.00,1.89,1.89,3.33,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,
Fall 04,CAAM 453 001, Mark Embree ,29,1.07,1.13,1.13,1.27,1.13,1.13,1.20,1.13,1.07,1.13,1.13,1.60,1.20,3.53,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,15,
Fall 04,CAAM 460 001, Richard Tapia,10,2.00,2.90,2.00,1.30,1.40,1.30,1.60,1.70,1.30,2.80,1.90,1.70,2.10,3.60,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
Fall 04,CAAM 464 001, Matthias Heinkenschloss,6,1.00,1.67,2.80,1.50,1.33,2.17,1.50,1.17,1.33,2.00,2.50,2.50,2.17,2.50,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,5,
Fall 04,CAAM 499 001, Stephen Cox,14,1.77,2.08,1.69,1.38,1.31,1.31,1.62,1.69,1.46,2.77,2.31,2.08,1.92,2.31,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,
Fall 04,CAAM 499 002, Matthias Heinkenschloss,0,1.90,2.20,1.90,1.60,1.50,1.80,1.60,1.40,1.30,2.50,2.60,2.70,2.30,2.50,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,8,
Fall 04,CAAM 551 001, Danny Sorensen,14,1.23,2.08,1.38,1.77,1.54,1.85,2.15,1.85,1.31,1.77,2.00,1.69,1.92,4.31,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
Fall 04,CAAM 563 001, Angelo Miele,0,1.25,1.75,1.00,1.75,1.75,2.00,1.75,1.25,1.00,1.25,2.50,2.00,1.75,2.75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Fall 04,CAAM 583 001, Courtney Lane,5,2.83,3.00,1.25,1.17,1.33,1.58,3.00,2.08,2.08,1.67,1.50,1.75,2.08,3.25,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,10,
Fall 04,CENG 201 001, Calvin Ward,12,2.20,2.80,1.80,1.90,1.90,2.40,2.36,2.27,1.55,2.45,3.27,3.64,2.55,2.27,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,
Fall 04,CENG 301 001, Kyriacos Zygourakis,21,3.38,5.00,2.94,3.75,3.50,3.75,4.31,4.63,3.44,4.00,2.50,3.25,3.88,3.44,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,
Fall 04,CENG 303 001, Samuel Davis,21,2.67,3.00,2.25,2.25,2.17,2.58,3.25,2.83,2.83,2.83,2.42,2.33,2.50,3.00,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
Fall 04,CENG 303 001, Sandip Agarwal,21,2.67,3.00,2.25,2.25,2.17,2.58,3.25,2.83,2.83,2.83,2.42,2.33,2.50,3.08,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
Fall 04,CENG 390 001, Michael Wong,26,2.14,2.50,2.90,2.86,1.95,2.86,3.00,2.73,2.45,2.64,2.95,2.59,2.76,4.18,22,22,21,22,22,22,22,22,22,22,22,22,21,22,22,22,
Fall 04,CENG 401 001, Clarence Miller,26,2.17,4.00,2.08,2.67,2.58,2.58,2.58,3.33,1.92,2.42,3.00,2.42,3.25,4.33,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
Fall 04,CENG 403 001, Kenneth Cox,15,1.25,1.75,2.80,1.00,1.25,1.25,1.50,1.00,1.00,1.50,1.50,1.50,1.50,5.00,4,4,5,4,4,4,4,5,4,4,4,4,4,5,5,4,
Fall 04,CENG 412 001, Paul Laibinis,25,1.63,1.69,2.44,1.25,1.75,1.94,1.88,1.56,1.38,1.88,2.13,1.50,1.81,4.38,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,
Fall 04,CENG 420 001, Antonios Mikos,0,2.00,2.58,2.58,2.37,2.21,2.37,2.84,2.16,1.53,2.47,3.89,2.68,3.05,4.05,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,
Fall 04,CENG 443 001, Kenneth Cox, ,2.00,2.60,4.17,1.80,2.00,2.80,2.80,2.60,3.00,5.40,5.80,4.00,3.60,3.40,5,5,6,5,5,5,5,5,5,5,5,5,5,5,6,5,
Fall 04,CENG 470 001, Matteo Pasquali,15,2.27,3.09,3.64,3.45,2.91,3.09,3.09,3.18,2.90,2.60,3.00,2.90,3.10,3.82,11,11,11,11,11,11,11,11,10,10,10,10,10,11,11,11,
Fall 04,CENG 501 001, George Hirasaki,16,2.14,2.43,1.50,1.71,2.00,2.29,2.43,2.64,1.67,1.86,2.46,2.07,2.23,3.62,14,14,14,14,14,14,14,14,12,14,13,14,13,13,13,11,
Fall 04,CENG 593 001, Constantine Armeniades,10,1.22,1.33,1.33,1.22,1.22,1.33,1.22,1.22,1.25,1.33,1.33,1.44,1.22,2.78,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,
Fall 04,CENG 611 001, Marc Robert,18,1.82,2.24,2.24,2.00,1.88,1.76,2.12,2.41,1.82,3.06,2.47,2.35,2.56,2.94,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,14,
Fall 04,CEVE 101 001, Philip Bedient,29,3.00,3.30,2.70,2.35,2.30,2.91,3.35,3.22,2.70,3.26,3.17,3.61,3.26,2.13,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,
Fall 04,CEVE 203 001, Pedro Alvarez,13,1.67,2.33,1.92,1.75,1.83,2.42,2.00,2.17,1.67,1.92,2.00,2.00,2.08,3.25,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
Fall 04,CEVE 204 001, Pedro Alvarez,10,3.50,3.38,3.25,2.38,2.25,2.25,2.88,2.88,2.50,3.75,3.63,2.75,3.38,3.88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
Fall 04,CEVE 315 001, Matthew Fraser,9,2.29,2.29,2.00,1.43,1.43,1.43,2.00,2.43,2.71,3.22,2.75,2.33,2.22,1.78,7,7,7,7,7,7,7,7,7,9,8,9,9,9,9,8,
Fall 04,CEVE 322 001, Susan Peterson,16,2.19,2.81,2.81,2.13,2.00,1.69,2.31,2.25,1.81,2.50,2.56,2.13,2.50,2.69,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,
Fall 04,CEVE 322 001, Edmund Segner,16,2.39,3.00,2.96,2.35,2.17,1.96,2.39,2.48,1.91,2.70,2.61,2.30,2.70,2.65,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,
Fall 04,CEVE 400 001, John Merwin,9,2.00,3.33,1.67,1.67,2.17,3.00,3.00,3.00,1.83,3.17,2.33,2.50,3.00,3.33,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
Fall 04,CEVE 401 001, Mason Tomson,20,2.53,3.41,3.12,2.00,2.35,2.76,2.76,2.94,1.88,3.24,2.65,2.59,2.94,3.24,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,
Fall 04,CEVE 407 001, Ahmad Durrani,9,1.44,1.44,1.56,1.33,1.33,1.22,1.33,1.22,1.00,1.44,1.67,1.33,1.22,3.11,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
Fall 04,CEVE 408 001, Ahmad Durrani,8,1.25,1.38,1.63,1.25,1.25,1.13,1.25,1.25,1.13,1.50,2.00,1.38,1.13,2.75,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
Fall 04,CEVE 427 001, Satish Nagarajaiah,9,1.25,1.75,2.13,1.50,1.50,2.13,1.75,1.50,1.25,1.88,1.50,2.13,1.75,2.88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,
Fall 04,CEVE 434 001, Mark Wiesner,13,3.18,3.82,3.91,2.91,2.82,2.91,3.55,3.55,2.00,4.00,2.91,2.36,3.45,3.36,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,
Fall 04,CEVE 443 001, Arthur Few,2,1.75,2.00,1.25,2.25,2.00,2.75,2.75,2.25,2.75,2.25,2.75,2.50,2.25,3.00,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Fall 04,CEVE 454 001, Tayfun Tezduyar,0,1.38,1.75,1.75,1.50,1.63,1.63,1.63,1.50,1.25,1.75,1.75,1.63,1.63,3.38,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
Fall 04,CEVE 470 001, Joseph Cibor,14,1.13,1.75,1.88,1.38,1.25,2.00,2.38,1.63,1.63,1.75,1.88,1.88,2.00,3.38,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
Fall 04,CEVE 511 001, Matthew Fraser,5,1.60,1.60,2.00,1.40,1.60,1.80,1.40,1.40,1.40,1.80,1.80,1.80,1.40,3.00,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Fall 04,CEVE 518 001, Philip Bedient,16,2.58,2.83,2.50,2.00,1.83,2.17,2.17,2.08,1.92,3.25,2.92,2.42,2.50,2.83,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,11,
Fall 04,CEVE 521 001, Anestis Veletsos,5,1.00,1.20,1.00,1.20,1.00,1.20,1.20,1.20,1.00,1.00,1.80,1.40,1.40,2.40,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
